date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:14:36	100550/100550	---MCZ	200	added ('OK')	text/html	etag:W/%22j9ncl89t6025ip%22	https://www.humanicslab.com/what-we-do/digital-banking	./humanicslab_mirror/www.humanicslab.com/what-we-do/digital-banking.html	(from https://www.humanicslab.com/)
14:14:37	186164/186164	---MCZ	200	added ('OK')	text/html	etag:W/%22rmujhwodvm3zkb%22	https://www.humanicslab.com/what-we-do/entrepreneurship	./humanicslab_mirror/www.humanicslab.com/what-we-do/entrepreneurship.html	(from https://www.humanicslab.com/)
14:14:38	126119/126119	---MCZ	200	added ('OK')	text/html	etag:W/%224mxtnw3ia32pae%22	https://www.humanicslab.com/what-we-do/research	./humanicslab_mirror/www.humanicslab.com/what-we-do/research.html	(from https://www.humanicslab.com/)
14:14:39	76340/76340	---MCZ	200	added ('OK')	text/html	etag:W/%22oqei9jh0gy1mul%22	https://www.humanicslab.com/what-we-do/training	./humanicslab_mirror/www.humanicslab.com/what-we-do/training.html	(from https://www.humanicslab.com/)
14:14:40	63812/63812	---MCZ	200	added ('OK')	text/html	etag:W/%22w23z2xf3111d8j%22	https://www.humanicslab.com/careers	./humanicslab_mirror/www.humanicslab.com/careers.html	(from https://www.humanicslab.com/)
14:14:41	54312/54312	---MCZ	200	added ('OK')	text/html	etag:W/%22fqgf1b3cfb15vr%22	https://www.humanicslab.com/news	./humanicslab_mirror/www.humanicslab.com/news.html	(from https://www.humanicslab.com/)
14:14:42	69579/69579	---MCZ	200	added ('OK')	text/html	etag:W/%22fxaxg6q6gp1hoq%22	https://www.humanicslab.com/contact	./humanicslab_mirror/www.humanicslab.com/contact.html	(from https://www.humanicslab.com/)
14:14:43	122340/122340	---MCZ	200	added ('OK')	text/html	etag:W/%22fenrxukczf2meb%22	https://www.humanicslab.com/startups	./humanicslab_mirror/www.humanicslab.com/startups.html	(from https://www.humanicslab.com/)
14:14:44	109429/109429	---MCZ	200	added ('OK')	text/html	etag:W/%22bmzzx57vx62cfo%22	https://www.humanicslab.com/what-we-do	./humanicslab_mirror/www.humanicslab.com/what-we-do.html	(from https://www.humanicslab.com/)
14:14:45	603091/603091	---M--	200	added ('OK')	image/png	etag:%225fc110c5dfa8ac9765b60297ec50acfa%22	https://www.humanicslab.com/technology-innovation-lab-diverse-team.png	./humanicslab_mirror/www.humanicslab.com/technology-innovation-lab-diverse-team.png	(from https://www.humanicslab.com/)
14:14:46	694321/694321	---M--	200	added ('OK')	image/png	etag:%228133a0751e9e837e056b32f374870a48%22	https://www.humanicslab.com/digital-banking/digital-banking-system.png	./humanicslab_mirror/www.humanicslab.com/digital-banking/digital-banking-system.png	(from https://www.humanicslab.com/)
14:14:47	741839/741839	---M--	200	added ('OK')	image/png	etag:%22a88422035c948417956760e57361664a%22	https://www.humanicslab.com/diverse-tech-agency.png	./humanicslab_mirror/www.humanicslab.com/diverse-tech-agency.png	(from https://www.humanicslab.com/)
14:14:49	593943/593943	---M--	200	added ('OK')	image/png	etag:%222f35769956cad977b3e3463367900209%22	https://www.humanicslab.com/startup-mentorship.png	./humanicslab_mirror/www.humanicslab.com/startup-mentorship.png	(from https://www.humanicslab.com/)
14:14:49	736010/736010	---M--	200	added ('OK')	image/png	etag:%2210dd1626e2bca77fa4e8cb0c2694c640%22	https://www.humanicslab.com/tech-training-classroom.png	./humanicslab_mirror/www.humanicslab.com/tech-training-classroom.png	(from https://www.humanicslab.com/)
14:14:50	58248/58248	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Dec%202025%2013:14:50%20GMT	https://www.humanicslab.com/news/humanics-lab-inspires-kano-children-on-innovation-and-responsible-ai	./humanicslab_mirror/www.humanicslab.com/news/humanics-lab-inspires-kano-children-on-innovation-and-responsible-ai.html	(from https://www.humanicslab.com/)
14:14:50	61409/61409	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Dec%202025%2013:14:50%20GMT	https://www.humanicslab.com/news/cultivating-ai-on-ghanaian-soil-why-a-domestic-dataset-is-ghana-s-seed-for-innovation	./humanicslab_mirror/www.humanicslab.com/news/cultivating-ai-on-ghanaian-soil-why-a-domestic-dataset-is-ghana-s-seed-for-innovation.html	(from https://www.humanicslab.com/)
14:14:52	56079/56079	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Dec%202025%2013:14:51%20GMT	https://www.humanicslab.com/news/humanics-lab-collaborates-with-maryam-abacha-american-university-of-nigeria-maaun-to-launch	./humanicslab_mirror/www.humanicslab.com/news/humanics-lab-collaborates-with-maryam-abacha-american-university-of-nigeria-maaun-to-launch.html	(from https://www.humanicslab.com/)
14:14:53	759245/759245	---M--	200	added ('OK')	image/png	etag:%227a137d7a645eca0ebc463166ade33970%22	https://www.humanicslab.com/collaborative-brainstorm.png	./humanicslab_mirror/www.humanicslab.com/collaborative-brainstorm.png	(from https://www.humanicslab.com/)
14:14:54	102060/102060	---MCZ	200	added ('OK')	text/html	etag:W/%22lqywuqog2026qz%22	https://www.humanicslab.com/partnerships	./humanicslab_mirror/www.humanicslab.com/partnerships.html	(from https://www.humanicslab.com/)
14:14:54	38500/38500	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%224d4a7ccaa4000f093360b7374a422186%22	https://www.humanicslab.com/impact	./humanicslab_mirror/www.humanicslab.com/impact.25.delayed	(from https://www.humanicslab.com/)
14:14:55	38500/38500	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%224d4a7ccaa4000f093360b7374a422186%22	https://www.humanicslab.com/privacy-policy	./humanicslab_mirror/www.humanicslab.com/privacy-policy.26.delayed	(from https://www.humanicslab.com/)
14:14:56	38500/38500	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%224d4a7ccaa4000f093360b7374a422186%22	https://www.humanicslab.com/terms	./humanicslab_mirror/www.humanicslab.com/terms.27.delayed	(from https://www.humanicslab.com/)
14:14:57	38500/38500	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%224d4a7ccaa4000f093360b7374a422186%22	https://www.humanicslab.com/cookies	./humanicslab_mirror/www.humanicslab.com/cookies.28.delayed	(from https://www.humanicslab.com/)
14:14:59	875193/875193	---M--	200	added ('OK')	image/png	etag:%22fb84d8dc6f8934af06e1b0dc23c35332%22	https://www.humanicslab.com/abstract-blue-digital-pattern.png	./humanicslab_mirror/www.humanicslab.com/abstract-blue-digital-pattern.png	(from https://www.humanicslab.com/)
14:15:01	665969/665969	---M--	200	added ('OK')	image/png	etag:%228214ebc7d22da0328bdf9636586f3773%22	https://www.humanicslab.com/abstract-blue-swirls.png	./humanicslab_mirror/www.humanicslab.com/abstract-blue-swirls.png	(from https://www.humanicslab.com/)
14:15:01	660137/660137	---M--	200	added ('OK')	image/png	etag:%22c5293198fa808eba7f52a90ec425b6bd%22	https://www.humanicslab.com/abstract-blue-tech.png	./humanicslab_mirror/www.humanicslab.com/abstract-blue-tech.png	(from https://www.humanicslab.com/)
